State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted
AK,Disk,10 seconds,9/25/15,,AL,Light,30 minutes,9/25/15,,AR,Unknown,11 mins-current,9/17/15,,AZ,Light,30 minutes,9/25/15,,CA,Light,30 minutes,9/25/15,,CO,Sphere,3 minutes,9/25/15,,CT,Cross,continuing,9/25/15,,DC,Changing,40 minutes,2/12/15,,DE,Circle,10:00,9/25/15,,FL,Sphere,5 minutes,9/25/15,,GA,Teardrop,15 seconds,9/25/15,,HI,Fireball,10 minutes,9/11/15,,IA,Light,3 minutes,9/11/15,,ID,Formation,60 seconds,9/25/15,,IL,Light,5 minutes,9/25/15,,IN,Light,2 minutes,9/25/15,,KS,Oval,2 minutes,9/25/15,,KY,,5 minutes,9/25/15,,LA,Unknown,10 seconds,9/25/15,,MA,Light,5 minutes,9/25/15,,MD,Triangle,3 minutes,9/25/15,,ME,Light,10 minutes,9/17/15,,MI,Triangle,3 minutes,9/25/15,,MN,Formation,Few seconds,9/25/15,,MO,Cylinder,6 minutes,9/25/15,,MS,Circle,Seconds,9/25/15,,MT,Disk,20 minutes,9/25/15,,NC,Circle,Still happening,9/25/15,,ND,Formation,18 minutes,9/25/15,,NE,Disk,~5 minutes,9/11/15,,NH,Triangle,30 minutes,9/25/15,,NJ,Fireball,5 minutes,9/25/15,,NM,Diamond,25 seconds,8/27/15,,NV,Light,1 minutes,9/25/15,,NY,Oval,30-60 minutes,9/25/15,,OH,Unknown,On going,9/25/15,,OK,Fireball,3-4 seconds,9/17/15,,OR,Circle,15 minutes,9/25/15,,PA,Oval,1 minute,9/25/15,,RI,Circle,10-15 seconds,9/25/15,,SC,Triangle,5 seconds,9/17/15,,SD,Light,4 hours,9/25/15,,TN,Formation,30 seconds,9/25/15,,TX,Light,0.5 second,9/25/15,,UT,,15 minutes,9/25/15,,VA,Light,20 minutes,9/25/15,,VT,Circle,5 minutes,9/17/15,,WA,Light,9-10 minutes,9/25/15,,WI,Diamond,20 minutes,9/25/15,,WV,Formation,5-6 minutes,9/25/15,,WY,Formation,5 seconds,9/17/15
AK,Light,30 minutes,9/25/15,,AL,Oval,20 minutes,9/25/15,,AR,Triangle,5 minutes,9/11/15,,AZ,Changing,2 hours,9/25/15,,CA,Cylinder,45 minutes,9/25/15,,CO,Formation,15+ minutes,9/25/15,,CT,Fireball,15 minutes,9/25/15,,DC,Other,2 minutes,1/7/15,,DE,Circle,15-20 minutes,9/25/15,,FL,Triangle,2 minutes,9/25/15,,GA,Unknown,90 seconds,9/25/15,,HI,Teardrop,1 minute,9/2/15,,IA,Triangle,5 seconds,9/11/15,,ID,Circle,8 seconds,9/25/15,,IL,Triangle,1 minute,9/25/15,,IN,Light,8-10 minutes,9/25/15,,KS,Circle,2 minutes,9/25/15,,KY,Chevron,30 seconds,9/25/15,,LA,Unknown,4 minutes,9/25/15,,MA,Cigar,10 minutes,9/25/15,,MD,Changing,20 minutes,9/25/15,,ME,Formation,2 minutes,9/17/15,,MI,Fireball,3-6 minutes,9/25/15,,MN,Unknown,2-3 minutes,9/25/15,,MO,Light,5-10 minutes,9/25/15,,MS,Circle,10 minutes,9/25/15,,MT,Triangle,30 seconds,9/25/15,,NC,Rectangle,7 seconds,9/17/15,,ND,Unknown,15 minutes,9/25/15,,NE,Triangle,3 minutes,8/27/15,,NH,Rectangle,3 minutes,9/25/15,,NJ,Other,Unknown,9/25/15,,NM,Other,3 hours,8/6/15,,NV,Other,3-4 minutes,9/25/15,,NY,Light,15 seconds,9/25/15,,OH,Sphere,2 hours,9/25/15,,OK,Light,10 minutes,9/25/15,,OR,Circle,10 minutes,9/25/15,,PA,Triangle,2 minutes,9/25/15,,RI,Circle,3 seconds,9/17/15,,SC,Teardrop,seconds,9/11/15,,SD,,30-60 minutes,9/17/15,,TN,Light,15 minutes,9/25/15,,TX,Circle,2.5 minutes,9/25/15,,UT,Disk,45 minutes,9/11/15,,VA,Light,5 minutes,9/25/15,,VT,Fireball,14 minutes,8/27/15,,WA,Chevron,6 seconds,9/25/15,,WI,Sphere,35 minutes,9/25/15,,WV,Sphere,5 minutes,9/17/15,,WY,Sphere,5 minutes,8/6/15
AK,Oval,2 days,9/2/15,,AL,Light,10 seconds,9/25/15,,AR,Triangle,20 seconds,9/2/15,,AZ,Formation,Several minutes,9/25/15,,CA,Light,Unknown,9/25/15,,CO,Chevron,15 seconds,9/25/15,,CT,Light,30 minutes,9/17/15,,DC,Circle,20 minutes +,1/7/15,,DE,Circle,30 minutes,9/17/15,,FL,Other,15 minutes,9/25/15,,GA,Other,>1 hour,9/25/15,,HI,Fireball,10 seconds,9/2/15,,IA,Triangle,3-5 hours,8/27/15,,ID,Triangle,1 minute,9/25/15,,IL,Circle,1 second,9/25/15,,IN,Unknown,1 second,9/25/15,,KS,Disk,10 seconds,9/25/15,,KY,Fireball,4-5 minutes,9/11/15,,LA,Teardrop,20 seconds,9/17/15,,MA,Unknown,1 hour,9/25/15,,MD,Light,6-7 seconds,9/17/15,,ME,Light,1 minute,9/11/15,,MI,Triangle,1 hour,9/25/15,,MN,Triangle,20 seconds,9/17/15,,MO,Circle,20 minutes,9/17/15,,MS,Circle,3-4 seconds,9/25/15,,MT,Triangle,20 seconds,9/17/15,,NC,Cylinder,1-2 hours,9/17/15,,ND,Circle,25 minutes,9/25/15,,NE,Circle,<10-20 seconds,8/27/15,,NH,Unknown,2 minutes,9/17/15,,NJ,Light,20 minutes,9/17/15,,NM,Other,,7/23/15,,NV,Flash,5 minutes,9/17/15,,NY,Disk,5 minutes,9/25/15,,OH,Light,hours,9/25/15,,OK,Other,10 seconds,9/17/15,,OR,Circle,~10 seconds,9/25/15,,PA,Light,1-3 minutes,9/25/15,,RI,Light,10 minutes,9/17/15,,SC,Sphere,2 minutes,9/2/15,,SD,Light,2 minutes,9/17/15,,TN,Triangle,3 minutes,9/17/15,,TX,Other,2 minutes,9/25/15,,UT,Triangle,5 seconds,9/11/15,,VA,Light,5 hours,9/25/15,,VT,Sphere,5 minutes,8/27/15,,WA,Fireball,4 hours,9/25/15,,WI,Teardrop,2 seconds,9/25/15,,WV,Light,Several minutes,9/11/15,,WY,Sphere,3 minutes,8/6/15
AK,Light,15 seconds,8/27/15,,AL,Light,1-2 minutes,9/17/15,,AR,Triangle,3 seconds,9/11/15,,AZ,Oval,<1 second,9/25/15,,CA,Circle,3 seconds,9/25/15,,CO,Light,<1 minute,9/25/15,,CT,Light,4 minutes,9/11/15,,DC,Light,30 seconds,11/6/14,,DE,,,9/2/15,,FL,Other,2 minutes,9/25/15,,GA,Circle,90 minutes,9/25/15,,HI,Unknown,7 minutes,8/27/15,,IA,Circle,12 minutes,8/27/15,,ID,Unknown,3.5 minutes,9/25/15,,IL,Fireball,1 minute,9/25/15,,IN,Light,10 minutes,9/17/15,,KS,Light,6 minutes,9/17/15,,KY,Cigar,10 minutes,8/27/15,,LA,Circle,4-5 minutes,9/17/15,,MA,Light,0.5 second,9/25/15,,MD,Unknown,5-10 minutes,9/17/15,,ME,Triangle,10 minutes,9/11/15,,MI,Cylinder,90 minutes,9/25/15,,MN,Fireball,45-60 seconds,9/17/15,,MO,Fireball,1 minute,9/2/15,,MS,Light,5 minutes,9/17/15,,MT,Circle,30 minutes,9/11/15,,NC,Fireball,2 minutes,9/17/15,,ND,Light,2 minutes,8/27/15,,NE,Light,15 minutes,7/31/15,,NH,Light,Hours,9/17/15,,NJ,Triangle,1 minute,9/11/15,,NM,Flash,5 minutes,7/6/15,,NV,Rectangle,2 minutes,9/11/15,,NY,Circle,30 minutes,9/25/15,,OH,Light,10 minutes,9/25/15,,OK,Chevron,40 minutes,9/11/15,,OR,Sphere,5 minutes,9/25/15,,PA,Other,90 seconds,9/25/15,,RI,Formation,2 minute,9/17/15,,SC,Cylinder,Until sunrise,9/11/15,,SD,Cylinder,<2 minutes,8/27/15,,TN,Unknown,3 seconds,9/11/15,,TX,Light,15 minutes,9/25/15,,UT,Light,1 hour,9/2/15,,VA,Light,,9/25/15,,VT,Rectangle,1 minutes,8/13/15,,WA,Light,30 minutes +,9/25/15,,WI,Chevron,3-4 seconds,9/25/15,,WV,Sphere,10 seconds,9/11/15,,WY,Cigar,4 seconds,8/13/15
AK,Rectangle,>5 minutes,8/27/15,,AL,Light,2-4 minutes,9/25/15,,AR,Light,,8/13/15,,AZ,Circle,2.5 hours,9/25/15,,CA,,10 minutes,9/25/15,,CO,Rectangle,6 seconds,9/17/15,,CT,Fireball,5 minutes,9/2/15,,DC,Light,4 minutes,8/29/14,,DE,Triangle,20 minutes,8/27/15,,FL,Fireball,15 minutes,9/17/15,,GA,Cigar,5 minutes,9/17/15,,HI,Other,~20 seconds,9/2/15,,IA,Diamond,1 minute,8/27/15,,ID,Light,<1 minute,9/25/15,,IL,Disk,3 minutes,9/25/15,,IN,Disk,10 minutes,9/17/15,,KS,Circle,~1 minute,9/17/15,,KY,Chevron,10-15 seconds,9/11/15,,LA,Circle,2 seconds,9/11/15,,MA,Light,40 minutes,9/17/15,,MD,Egg,1 hour,9/17/15,,ME,Circle,5 minutes,9/2/15,,MI,Circle,2 minutes,9/25/15,,MN,Circle,5 minutes,9/11/15,,MO,Triangle,15 seconds,9/2/15,,MS,Fireball,30 seconds,9/11/15,,MT,Circle,1 hour,9/11/15,,NC,Light,30 seconds,9/17/15,,ND,Other,75 minutes,8/13/15,,NE,Cylinder,5-10 seconds,7/23/15,,NH,Disk,4 minutes,9/17/15,,NJ,Fireball,3 minutes,9/11/15,,NM,Disk,20 seconds,7/6/15,,NV,Flash,13 minutes,9/11/15,,NY,Light,30-60 minutes,9/17/15,,OH,Light,2 minutes,9/25/15,,OK,Disk,10 minutes,9/11/15,,OR,Light,1 hour,9/25/15,,PA,Light,5 minutes,9/25/15,,RI,Other,10 minutes,9/17/15,,SC,Unknown,30 seconds,9/2/15,,SD,Light,1:00-2:00,8/13/15,,TN,Circle,Seconds,9/11/15,,TX,Disk,~5 seconds,9/25/15,,UT,Light,3-4 minutes,9/2/15,,VA,Light,10 minutes,9/17/15,,VT,Light,20 minutes,8/13/15,,WA,Sphere,40 seconds,9/25/15,,WI,Light,2 minutes,9/17/15,,WV,Fireball,3 minutes,9/11/15,,WY,Sphere,5 minutes,8/6/15
AK,Circle,3 seconds,8/27/15,,AL,Light,,9/17/15,,AR,Triangle,still there,7/31/15,,AZ,Fireball,Few minutes,9/25/15,,CA,Formation,1 minute,9/25/15,,CO,Other,10 minutes,9/17/15,,CT,Light,3 minutes,9/2/15,,DC,Light,5 minutes,8/1/14,,DE,Circle,6 minutes,8/27/15,,FL,Sphere,30 minutes,9/25/15,,GA,Fireball,Seconds,9/17/15,,HI,Light,,7/17/15,,IA,Sphere,~1 hour,8/13/15,,ID,Light,45 seconds,9/11/15,,IL,Sphere,3-6 hours,9/25/15,,IN,Light,15 minutes,9/11/15,,KS,Light,30 seconds,9/17/15,,KY,Circle,30 minutes,8/27/15,,LA,Fireball,2 minutes,9/2/15,,MA,Fireball,2 minutes,9/17/15,,MD,Disk,Unknown,9/17/15,,ME,Disk,10 minutes,9/11/15,,MI,Oval,3-4 minutes,9/25/15,,MN,Fireball,:30,9/11/15,,MO,Fireball,45 seconds,8/27/15,,MS,Circle,N/A,9/11/15,,MT,Sphere,15 minutes,8/6/15,,NC,Circle,1 hour,9/11/15,,ND,Unknown,30 minutes,8/13/15,,NE,Unknown,15 minutes,7/6/15,,NH,Circle,90 seconds,9/11/15,,NJ,Circle,10 minutes,9/11/15,,NM,Fireball,1 minute,7/6/15,,NV,,hours,9/11/15,,NY,Fireball,2-3 minutes,9/17/15,,OH,Changing,still going on,9/25/15,,OK,Sphere,5 minutes,9/2/15,,OR,Circle,8 minutes,9/25/15,,PA,Fireball,Continues,9/17/15,,RI,Cylinder,10 seconds,9/11/15,,SC,Diamond,2 hours,9/2/15,,SD,Other,3-6 minutes,7/31/15,,TN,Circle,5 minutes,9/11/15,,TX,Unknown,,9/25/15,,UT,Triangle,10 minutes,9/2/15,,VA,Rectangle,unknown,9/11/15,,VT,Oval,10 minutes,8/6/15,,WA,Other,30 seconds +,9/17/15,,WI,Diamond,30+ minutes,9/17/15,,WV,Light,15 seconds,9/2/15,,WY,Fireball,5 minutes,7/31/15
AK,Light,15 minutes,8/13/15,,AL,Light,1-2 seconds,9/17/15,,AR,Light,15 seconds,7/31/15,,AZ,Circle,1 hour,9/25/15,,CA,Formation,10 seconds,9/25/15,,CO,Light,20 minutes,9/17/15,,CT,Fireball,3 minutes,8/27/15,,DC,Formation,30 minutes,6/24/14,,DE,Circle,90 seconds,8/27/15,,FL,Light,5 minutes,9/17/15,,GA,Chevron,8 seconds,9/17/15,,HI,Formation,1 hour,6/15/15,,IA,Diamond,45 seconds,8/13/15,,ID,Light,10 seconds,9/11/15,,IL,Cylinder,6+ hours,9/25/15,,IN,Fireball,1 minute,9/11/15,,KS,Light,4-5 seconds,9/11/15,,KY,Cigar,,9/11/15,,LA,Light,1 minute,8/27/15,,MA,Light,10 minutes,9/17/15,,MD,Light,25 minute,9/17/15,,ME,Triangle,10,8/27/15,,MI,Circle,1 hour,9/17/15,,MN,Cigar,5-10 minutes,9/11/15,,MO,Chevron,~6 minutes,8/27/15,,MS,Fireball,45 seconds,8/27/15,,MT,Circle,10 minutes,7/31/15,,NC,Circle,3 seconds,9/11/15,,ND,Disk,1 minute,6/15/15,,NE,Light,2 minutes,8/6/15,,NH,Cigar,30 seconds,9/11/15,,NJ,Circle,2 hours,9/2/15,,NM,Light,15-20 seconds,7/3/15,,NV,Cylinder,2 minutes,9/11/15,,NY,,~10 minutes,9/17/15,,OH,Light,2 minutes,9/17/15,,OK,Fireball,2 minutes,8/27/15,,OR,Light,0.5 seconds,9/17/15,,PA,Light,3 minutes,9/17/15,,RI,Disk,10 minutes,9/11/15,,SC,Light,1 hour,9/2/15,,SD,Cylinder,East 63rd street,7/23/15,,TN,Triangle,15 minutes,8/27/15,,TX,Egg,3 still objects that flas,9/25/15,,UT,Changing,5 minutes,8/27/15,,VA,Light,2 seconds,9/11/15,,VT,Sphere,10 minutes,8/6/15,,WA,Light,50 minutes,9/17/15,,WI,Light,,9/17/15,,WV,Sphere,3-5 minutes,9/11/15,,WY,Light,2 hours,6/24/15
AK,Light,45 minutes +,8/6/15,,AL,Light,Still going on,9/11/15,,AR,Circle,2 hours,7/31/15,,AZ,Flash,15 minutes,9/25/15,,CA,Other,4 minutes,9/25/15,,CO,Other,~5 minutes,9/17/15,,CT,Light,10-20 seconds,8/27/15,,DC,Formation,20 seconds,2/27/14,,DE,Circle,1 minute,8/13/15,,FL,Diamond,3-4 seconds,9/17/15,,GA,Other,1 minute,9/17/15,,HI,Rectangle,23 seconds,3/26/15,,IA,Light,4-5 minutes,8/13/15,,ID,Sphere,50 seconds,9/2/15,,IL,Oval,40 minutes observed,9/25/15,,IN,Circle,20 minutes,9/11/15,,KS,Other,~5 minutes,8/27/15,,KY,Sphere,2 minutes,9/11/15,,LA,Oval,10 minutes,8/27/15,,MA,Light,4 hours,9/17/15,,MD,Circle,5-7 minutes,9/11/15,,ME,Disk,,8/27/15,,MI,Other,2 seconds,9/17/15,,MN,Other,5-10 minutes,9/11/15,,MO,Sphere,20 minutes,8/27/15,,MS,Fireball,3-4 hours,8/27/15,,MT,Sphere,1 minute,7/31/15,,NC,Disk,<1 minute,9/17/15,,ND,Triangle,5 seconds,4/8/15,,NE,Light,3 minutes,7/6/15,,NH,Sphere,1 minute,9/11/15,,NJ,Diamond,2 minutes,8/27/15,,NM,Sphere,10 seconds,6/24/15,,NV,Rectangle,1 minute,9/2/15,,NY,Other,1 minute,9/17/15,,OH,Cone,2 minutes,9/17/15,,OK,Light,30 seconds,8/27/15,,OR,Flash,few seconds,9/17/15,,PA,Fireball,15 minutes,9/17/15,,RI,Changing,4 hours,9/11/15,,SC,Cylinder,3 minutes,9/2/15,,SD,Chevron,25 minutes,6/24/15,,TN,Triangle,15 minutes,8/27/15,,TX,Unknown,10 minutes,9/17/15,,UT,Circle,3-4 seconds,8/13/15,,VA,Circle,several minutes,9/11/15,,VT,Other,5 minutes,7/10/15,,WA,Other,30 seconds +,9/17/15,,WI,Sphere,5 minutes,9/17/15,,WV,Circle,7 minutes,8/27/15,,WY,Sphere,10 minutes,6/24/15
AK,Oval,6 minutes,7/6/15,,AL,Fireball,3 seconds,8/27/15,,,,,,,AZ,Fireball,30 minutes,9/25/15,,CA,Oval,2 minutes,9/25/15,,CO,Light,still visible,9/17/15,,CT,Cigar,2 minutes,8/27/15,,DC,Triangle,5 seconds,9/30/13,,DE,Formation,10 minutes,8/13/15,,FL,Circle,15 minutes,9/11/15,,GA,Formation,~1 minute,9/17/15,,HI,Unknown,30 minutes,3/20/15,,IA,Circle,1.5 minutes,8/6/15,,ID,Circle,30 seconds,8/27/15,,IL,Rectangle,45 seconds,9/17/15,,IN,Triangle,3 minutes,9/11/15,,KS,Formation,1 minutes,8/6/15,,KY,Circle,1-2 seconds,7/31/15,,LA,Unknown,20 minutes,8/27/15,,MA,Disk,5 minutes,9/11/15,,MD,Circle,1 minute,8/27/15,,ME,Light,30 seconds,8/27/15,,MI,Light,1 minute,9/17/15,,MN,Unknown,10-15 minutes,9/11/15,,MO,Triangle,45 seconds,8/27/15,,MS,Triangle,10 minutes,8/13/15,,MT,Triangle,0:30,7/31/15,,NC,Circle,3 minutes,9/11/15,,ND,Light,20 minutes,3/6/15,,NE,Other,5 minutes,7/3/15,,NH,Triangle,1-2 seconds,9/2/15,,NJ,Fireball,3 hours,8/27/15,,NM,Unknown,30-40 minutes,6/15/15,,NV,Other,15 seconds,8/27/15,,NY,,2 seconds,9/17/15,,OH,Triangle,7 minutes,9/25/15,,OK,Light,1 minute,8/27/15,,OR,Other,4 seconds,9/17/15,,PA,Light,3 minutes,9/17/15,,RI,Diamond,2 minutes,8/27/15,,SC,Light,2 minutes,8/27/15,,SD,Cylinder,8 minutes,5/29/15,,TN,Light,~10 minutes,8/27/15,,TX,Other,20 seconds,9/17/15,,UT,Light,2-3 seconds,8/6/15,,VA,Rectangle,7-9 seconds,9/11/15,,VT,Light,20 minutes,7/6/15,,WA,Fireball,1 hour,9/17/15,,WI,Light,20 minutes,9/11/15,,WV,Diamond,3 minutes,8/27/15,,WY,Formation,ongoing,6/19/15
AK,Disk,10 seconds,6/15/15,,AL,Triangle,25 minutes,8/13/15,,AR,Circle,~10 minutes,7/17/15,,AZ,Disk,5 minutes,9/25/15,,CA,Changing,Still up there hovering,9/25/15,,CO,Formation,15 minutes,9/17/15,,CT,Light,1 minute,8/13/15,,DC,Circle,seconds,5/15/13,,DE,Oval,15 seconds,9/11/15,,FL,Fireball,4 seconds,9/11/15,,GA,Changing,5 minutes,9/17/15,,HI,Flash,3 minutes,3/13/15,,IA,Disk,5 seconds,8/27/15,,ID,Sphere,6-8 seconds,8/27/15,,IL,Formation,5-10 minutes,9/17/15,,IN,Fireball,1 minute,9/2/15,,KS,Light,1-2 minutes,8/6/15,,KY,Light,8 minutes,7/31/15,,LA,Circle,10 minutes,8/6/15,,MA,Rectangle,10 minutes,9/11/15,,MD,Oval,3-5 minutes,8/27/15,,ME,Sphere,10 seconds,8/27/15,,MI,Triangle,3 minutes,9/17/15,,MN,Fireball,Seconds,9/2/15,,MO,Triangle,3 minutes,8/13/15,,MS,Cylinder,1 second,7/31/15,,MT,Fireball,,7/17/15,,NC,Cross,2 minutes,9/2/15,,ND,Formation,30,11/6/14,,NE,Disk,5-10 minutes,7/3/15,,NH,Triangle,2-3 seconds,9/11/15,,NJ,Flash,4 seconds,8/27/15,,NM,Disk,,6/5/15,,NV,Unknown,24:00:00,8/27/15,,NY,Other,15 seconds,9/11/15,,OH,Light,1-2 minutes,9/17/15,,OK,Sphere,2-3 minutes,8/27/15,,OR,Light,2 minutes,9/17/15,,PA,Light,40,9/17/15,,RI,Light,25 seconds,8/13/15,,SC,Cylinder,5 seconds,8/27/15,,SD,Disk,2 minutes,5/22/15,,TN,Light,3 minutes,8/27/15,,TX,Unknown,20 seconds,9/17/15,,UT,Light,2-3 seconds,8/6/15,,VA,Unknown,30 minutes,9/11/15,,VT,Light,7 minutes,7/3/15,,WA,Light,90 seconds,9/17/15,,WI,Fireball,90 seconds,9/11/15,,WV,Diamond,3 minutes,8/13/15,,WY,Light,30 minutes,6/15/15
